,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,shache,0,CN,1577324294,71,38.42,77.24,19.47,3.71
1,yorosso,0,ML,1577324294,11,12.35,-4.78,63.79,7.31
2,hobart,20,AU,1577324023,46,-42.88,147.33,79.0,12.75
3,adrar,63,DZ,1577324288,50,27.87,-0.29,53.6,13.87
4,jamestown,59,AU,1577324076,15,-33.21,138.6,96.48,6.69
5,kaitangata,100,NZ,1577324295,82,-46.28,169.85,57.99,10.0
6,cabra,99,ES,1577324295,93,37.47,-4.43,55.0,1.12
7,lorengau,100,PG,1577324295,75,-2.02,147.27,84.2,16.55
8,yaring,20,TH,1577324295,88,6.87,101.37,75.2,5.82
9,bredasdorp,47,ZA,1577324090,55,-34.53,20.04,63.0,6.93
10,zhangjiakou,6,CN,1577324295,78,40.77,114.88,7.3,4.72
11,butaritari,42,KI,1577324182,71,3.07,172.79,84.6,3.67
12,srirampur,75,BD,1577324295,93,23.92,90.13,57.2,5.06
13,pisco,82,PE,1577324203,82,-13.71,-76.2,68.0,12.75
14,labuhan,89,ID,1577324296,57,-2.54,115.51,88.45,4.56
15,new norfolk,20,LR,1577324020,94,6.65,-10.59,77.0,1.34
16,rikitea,100,PF,1577324160,90,-23.12,-134.97,70.61,5.53
17,norman wells,1,US,1577324296,51,35.22,-97.44,63.0,10.29
18,cape town,100,CL,1577324296,34,-36.41,-71.9,68.0,6.93
19,yellowknife,90,CA,1577324134,84,62.45,-114.38,3.2,2.24
20,busselton,0,AU,1577324079,46,-33.64,115.35,84.99,12.15
21,chuy,89,UY,1577324296,83,-33.69,-53.46,68.76,12.21
22,port alfred,100,CD,1577324296,73,-7.04,29.76,76.3,13.98
23,punta arenas,75,PH,1577324296,83,14.18,121.12,84.0,8.05
24,luderitz,68,NA,1577324081,67,-26.65,15.16,62.6,10.29
25,oschersleben,35,DE,1577324297,96,52.03,11.25,42.01,4.0
26,keflavik,100,IS,1577324297,80,64.0,-22.56,30.2,8.05
27,janakkala,100,FI,1577324297,88,60.93,24.67,33.01,5.99
28,pimenta bueno,2,BR,1577324297,90,-20.48,-45.8,66.65,1.57
29,aswan,0,EG,1577324297,40,24.09,32.9,51.8,21.92
30,flinders,0,AU,1577324297,45,-34.58,150.85,87.01,12.75
31,takanabe,75,JP,1577324298,93,32.13,131.49,59.0,4.7
32,ushuaia,40,AR,1577323968,61,-54.81,-68.31,53.6,11.41
33,nanortalik,77,GL,1577324254,63,60.14,-45.24,32.07,7.09
34,san quintin,0,ML,1577324298,11,13.3,-4.9,63.64,7.52
35,deputatskiy,100,RU,1577323899,100,69.3,139.9,-20.67,2.08
36,xinan,0,CN,1577324298,73,22.55,113.89,73.0,8.95
37,briancon,0,FR,1577324298,52,44.9,6.65,42.01,1.99
38,constitucion,5,MX,1577324299,13,23.99,-104.67,62.6,5.82
39,bethel,1,US,1577324000,75,60.79,-161.76,-9.4,9.17
40,puerto escondido,40,AR,1577324299,31,-51.62,-69.23,60.8,13.87
41,talnakh,97,RU,1577324299,74,69.49,88.39,-23.8,4.47
42,vao,100,EE,1577324170,95,59.1,26.19,33.69,4.05
43,yarmouth,90,CA,1577324299,68,43.84,-66.12,30.99,12.75
44,puerto madryn,40,AR,1577324299,31,-51.62,-69.23,60.8,13.87
45,langxiang,0,CN,1577324299,64,46.95,128.87,2.7,3.27
46,imbituba,75,BR,1577324249,88,-28.24,-48.67,77.0,12.75
47,backa palanka,75,FI,1577324300,88,60.18,24.24,34.0,8.05
